name
آمل
کابل
کاول
زابلستان
بلخ
اصطخر
تیسفون
تمیشه
سیستان
نیمروز
هرات
بست
قندوز
غزنی
بامیان
غزلی
قندهار
گرگساران
مرو
زیبد
قرچگان
تالقان
فاریاب
بخارا
کشمیر
اندرآب
‌پنجهیر
ترمذ
ولایت ختلان
بدخشان
گوزگانان
آذرآبادگان
‌پارس
اهواز
ری
دامغان
مولیان
ولایت سغد
مای
مرغ
ارمان
آلانان
قنوج
بغداد
بیت المقدس
تاتار
تور
ختن
دنبر
دهستان
رودابد
ساری
سپنجاب
سپینجاب
سگسار
شیر
شیرخوان
طراز
توس
کرمان
گرزبان
گرگان
گوراب
گورابد
گورابه
ماورانهر
اردبیل
اصفهان
خراسان
خزرها
سمرقند
شام
گیلان
مکران
نیشابور
گرگانج
جهرم
حلب
عراق
رام اردشیر
گندی شاپور
سواران نیزه‌گذار
قحطان
گردان
یلان
دماوند
البرز کوه
هندوکش
سپیدکوه
کوه سپند
دابه کوه
رابه کوه
کنابد
جیحون
هیرمند
کاسه‌رود
اروند
رود ری
سند
دریای گیلان
بیکند
دریای چین
ساری
سمنگان
سیاووش گرد
مازندران
هاماوران
مصر
بربر
روم
هروم
یمن
چین
هند
اندلس
بابل
بحرین
مکه
جده
نیل
